"age","are_you_a_student","housing_status_in_somerville","children_age_18_or_younger_who_live_with_you","move_away_from_somerville_in_the_next_two_years","how_happy_do_you_feel_right_now","how_long_have_you_lived_here","how_proud_are_you_to_be_a_somerville_resident_2015","how_safe_do_you_feel_walking_in_your_community_at_night_2015","how_satisfied_are_you_with_somerville_as_a_place_to_live","how_satisfied_are_you_with_the_appearance_of_parks_and_squares_in_your_neighborhood","how_satisfied_are_you_with_the_beauty_or_physical_setting_of_your_neighborhood","how_satisfied_are_you_with_your_life_in_general","how_satisfied_are_you_with_your_neighborhood","availability_of_information_about_city_services_2015","availability_of_social_community_events","cost_of_housing","maintenance_of_streets_and_sidewalks_2015","how_would_you_rate_the_following_your_trust_in_the_local_police_2015","ward","annual_household_income","sex","race"
2,"No","Rent","Yes","No",10,3,9,8,9,10,7,9,9,8,8,2,2,2,"3",6,"Female","White"
4,"No","Rent","No","No",6,4,10,9,8,9,9,7,8,8,8,4,8,6,"3",3,"Female","White"
4,"No","Own","No","No",8,3,9,8,9,9,8,8,9,10,10,6,8,6,"4",3,"Female","Black/African American"
7,"No","Own","No","No",7,6,10,8,10,10,9,6,9,10,10,10,8,8,"6",3,"Female","White"
2,"No","Rent","No","No",10,3,9,7,9,9,7,9,8,10,10,4,4,6,"4",3,"Female","White"
4,"No","Own","No","No",8,4,9,9,10,9,7,8,10,8,8,8,4,8,"5",6,"Female","White"
3,"No","Rent","No","Yes",8,2,5,8,7,8,8,9,7,8,6,2,8,8,"5",3,"Female","White"
4,"No","Rent","No","No",6,3,5,4,6,5,5,7,5,10,6,4,6,6,"6",4.77070063694268,"Female","White"
2,"No","Rent","No","No",9,1,9,9,9,8,8,9,8,8,8,4,4,6,"3",4.77070063694268,"Female","White"
2,"No","Own","No","No",8,3,7,8,8,6,5,9,8,10,10,4,8,6,"4",5,"Female","White"
2,"No","Rent","No","No",6,2,8,10,7,8,9,7,9,8,8,6,4,8,"6",4.77070063694268,"Male","Mixed"
2,"No","Rent","No","No",6,3,10,7,9,10,8,7,10,6,10,2,6,8,"6",6,"Female","White"
2,"Yes","Rent","No","No",6,1,8,8,9,6,7,8,8,10,10,6,8,8,"3",5,"Female","Mixed"
4,"No","Own","No","No",9,7,10,8,10,8,8,9,9,10,10,6,8,8,"2",7,"Female","White"
6,"No","Own","No","Yes",1,7,1,1,1,6,3,10,1,2,8,2,2,6,"3",4.77070063694268,"Female","White"
7,"No","Own","No","No",7,7,10,6,9,9,9,7,10,10,6,4,10,10,"4",3,"Female","White"
6,"No","Own","No","No",8,7,10,7,10,8,8,10,10,8,10,8,4,6,"2",4,"Female","Mixed"
7,"No","Own","No","No",5,7,5,5,5,5,5,5,5,8.48351648351648,2,2,7.05434782608696,7.51111111111111,"6",2,"Male","White"
2,"No","Rent","No","No",9,2,10,9,9,7,9,8,9,10,8,2,8,6,"3",5,"Female","White"
2,"Yes","Rent","No","No",8,2,8,9,9,9,8,8,9,6,8,4,8,6,"3",4,"Male","White"
6,"No","Own","No","No",8,7,8,6,8,7,6,8,8,10,10,6,8,7.51111111111111,"3",7,"Female","White"
3,"No","Own","Yes","No",9,4,9,8,9,7,6,8,8,10,10,4,8,6,"2",6,"Female","White"
6,"No","Rent","No","No",10,7,10,10,10,10,10,10,10,10,10,8,8,10,"7",4.77070063694268,"Female","White"
7,"No","Own","No","No",9,7,9,9,9,7,7,9,9,8,8,6,6,8,"6",5,"Male","Asian/Pacific Islander"
3,"No","Rent","No","Yes",8,4,7,8,8,8,7,8,7,8,8,4,6,6,"4",6,"Male","Mixed"
5,"No","Own","No","No",5,7,5,6,6,6,6,7,6,10,10,2,6,10,"5",6,"Female","White"
2,"Yes","Rent","No","Yes",9,2,8,9,9,7,7,9,8,8,10,4,10,10,"3",5,"Female","White"
3,"No","Rent","No","No",10,4,10,10,10,10,9,8,10,10,10,8,10,10,"3",6,"Male","White"
3,"No","Rent","No","Yes",9,2,9,9,9,9,8,9,9,10,10,4,10,10,"5",7,"Female","White"
2,"No","Rent","No","No",8,2,7,9,8,7,7,8,8,8,8,6,8,8,"1",5,"Female","White"
2,"No","Rent","No","No",7,2,9,10,10,10,10,7,9,10,10,8,8,8,"3",3,"Male","White"
5,"No","Rent","Yes","No",8,7,8,5,8,8,4,7,5,8,8,8,6,8,"5",6,"Female","White"
6,"No","Rent","No","No",1,2,10,5,10,9,7,2,10,10,10,6,8,10,"3",7,"Male","White"
2,"No","Rent","No","No",9,2,10,9,9,10,6,9,7,10,8,4,4,4,"5",3,"Female","White"
3,"No","Rent","No","No",6,5,8,9,9,6,6,8,8,8,10,8,4,6,"6",4,"Female","White"
1,"No","Rent","No","No",7,1,7,9,8,6,4,7,8,6,8,4,6,6,"2",4,"Female","White"
3,"No","Own","Yes","No",9,5,9,8,8,6,6,8,9,8,10,6,6,6,"5",7,"Female","Asian/Pacific Islander"
5,"No","Own","No","No",10,6,7,8,10,8,4,10,8,10,10,4,10,8,"5",4,"Female","White"
2,"No","Rent","No","No",9,1,8,8,5,8,8,7,5,8,10,2,2,6,"3",6,"Male","Asian/Pacific Islander"
5,"No","Own","No","No",10,7,6,6,6,1,1,10,3,10,10,10,10,4,"4",5,"Female","White"
2,"No","Rent","No","Yes",9,3,10,9,10,7,7,9,10,8,8,2,8,8,"2",6,"Male","Asian/Pacific Islander"
2,"No","Rent","No","No",9,4,9,10,9,7,9,8,9,10,8,4,8,8,"5",7,"Male","Asian/Pacific Islander"
3,"No","Own","Yes","No",8,4,8,6,8,7,6,8,8,6,6,6,8,10,"2",7,"Female","White"
4,"No","Own","Yes","No",6,7,8,4,6,4,5,7,5,8,8,2,8,6,"7",5,"Female","White"
5,"No","Rent","No","Yes",10,5,8.19230769230769,10,10,10,10,10,10,10,10,2,10,10,"2",3,"Male","White"
4,"No","Rent","No","No",6,3,2,8,4,5,6,4,4,8.48351648351648,8.46927374301676,10,6,2,"1",2,"Male","Black/African American"
2,"No","Own","No","No",6,2,2,6,4,10,1,7,6,8,8.46927374301676,2,6,10,"1",5,"Female","Mixed"
3,"No","Own","Yes","No",7,5,10,10,9,10,8,8,8,10,10,8,10,10,"3",4,"Male","Hispanic / Latino"
3,"No","Rent","No","No",8,5,9,9,9,7,7,7,9,10,10,6,8,8,"3",4.77070063694268,"Female","White"
5,"No","Own","Yes","No",10,7,8,7,10,9,7,10,7,8,10,4,8,8,"3",5,"Female","White"
3,"No","Own","No","No",8,3,9,9,9,7,8,8,10,8,8,6,6,8,"7",7,"Male","White"
3,"No","Rent","No","Yes",8,3,8,9,8,6,7,8,6,6,8,8,2,8,"4",4,"Male","Mixed"
2,"Yes","Rent","No","Yes",9,2,5,5,7,6,6,9,5,8,6,10,2,10,"2",4.77070063694268,"Female","White"
2,"No","Rent","No","No",9,4,9,8,9,7,7,9,8,8,8,6,4,8,"2",4.77070063694268,"Female","White"
1,"No","Rent","No","Yes",5,1,7,10,8,8,8,3,8,10,10,4,4,6,"2",4.77070063694268,"Female","Mixed"
5,"No","Own","No","No",6,5,5,7,7,6,5,6,6,10,6,6,6,8,"5",6,"Female","White"
6,"No","Rent","No","Yes",10,4,10,10,10,10,10,10,10,10,10,4,10,10,"3",4.77070063694268,"Female","Hispanic / Latino"
2,"No","Rent","No","No",9,1,7,9,9,8,9,9,9,6,6,6,6,8,"6",5,"Female","White"
2,"No","Rent","No","Yes",10,2,6,7,7,7,4,9,7,6,8,4,8,6,"2",6,"Female","White"
3,"No","Own","Yes","No",8,4,8,8,7,8,8,8,7,8,8,6,4,6,"7",6,"Female","White"
1,"No","Rent","No","No",8,1,7,9,9,6,7,8,10,6,8,6,6,7.51111111111111,"7",3,"Female","White"
5,"No","Own","No","No",8,7,9,9,9,9,9,8,9,10,10,4,10,10,"7",6,"Male","White"
6,"No","Other","No","No",7,7,9,8,8,7,5,8,8,10,10,6,4,6,"2",4,"Female","White"
1,"No","Rent","No","Yes",9,2,10,4,9,8,8,10,8,4,8,4,6,10,"3",1,"Female","White"
6,"No","Rent","No","No",10,7,10,10,10,10,10,10,10,10,10,10,10,10,"7",2,"Female","White"
4,"No","Rent","No","No",6,3,8,10,9,9,9,6,9,8,8,6,8,8,"5",6,"Female","White"
1,"No","Rent","No","No",7,2,7,6,7,5,5,8,7,6,8,6,6,6,"5",2,"Female","White"
4,"No","Own","No","No",10,7,10,10,10,10,10,10,10,8,8,4,8,8,"1",4.77070063694268,"Male","Black/African American"
2,"No","Own","No","No",8,3,10,8,10,3,3,9,8,10,8,6,8,8,"1",7,"Female","White"
3,"No","Own","Yes","No",8,3,8,5,8,7,5,8,8,8,8,6,4,8,"1",4.77070063694268,"Female","White"
7,"No","Rent","No","No",6,7,8,6,10,9,7,8,10,10,10,4,8,8,"7",4,"Female","White"
4,"No","Rent","No","No",7,3,8,8,7,7,6,8,7,8,8.46927374301676,2,4,6,"7",5,"Male","White"
6,"No","Own","No","No",7,4,8,8,10,7,5,8,8,10,10,6,10,6,"7",4.77070063694268,"Female","White"
3,"No","Rent","No","No",7,1,7,7,7,6,5,7,7,8,6,2,8,8,"3",5,"Male","White"
1,"Yes","Rent","No","No",7.84239130434783,1,8.19230769230769,10,9,9,8,8.0655737704918,9,8.48351648351648,8,8,4,8,"2",4,"Male","White"
3,"No","Rent","No","No",9,1,9,9,9,5,6,9,9,10,10,4,8,10,"6",4,"Female","White"
3,"No","Own","Yes","Yes",8,3,9,9,8,9,9,8,9,10,10,8,6,8,"3",4.77070063694268,"Female","White"
3,"No","Own","Yes","Yes",9,3,5,6,5,6,3,9,5,6,6,6,4,6,"7",4.77070063694268,"Female","Asian/Pacific Islander"
1,"Yes","Rent","Yes","Yes",8,2,5,8,3,8,9,8,5,6,8,8,10,8,"3",2,"Female","Hispanic / Latino"
2,"No","Own","Yes","No",8,2,10,10,10,8,7,8,10,10,10,2,10,8,"2",6,"Female","White"
5,"No","Other","No","No",8,7,10,8,10,10,10,9,10,10,8,8,10,10,"3",4.77070063694268,"Female","White"
7,"No","Own","No","No",10,7,10,8,10,9,8,10,10,10,10,10,8,8,"7",3,"Male","Asian/Pacific Islander"
2,"No","Own","No","No",8,3,9,9,9,7,7,7,7,10,8,8,6,6,"5",7,"Female","White"
3,"No","Own","No","No",10,3,10,10,10,9,9,9,8,8,10,4,8,6,"3",6,"Male","White"
2,"Yes","Rent","No","No",8,2,8,7,8,8,6,9,7,10,6,6,4,8,"1",4,"Female","White"
5,"No","Own","No","No",9,3.82417582417582,9,9,9,9,9,8.0655737704918,9,8,10,5.19565217391304,10,10,"4",3,"Male","Asian/Pacific Islander"
2,"No","Rent","No","Yes",10,2,10,10,10,9,10,10,10,10,10,8,8,8,"6",7,"Female","White"
3,"No","Rent","Yes","Yes",9,4,3,3,4,5,6,9,3,6,4,2,2,4,"7",6,"Male","White"
7,"No","Own","No","No",10,4,10,9,10,9,4,9,8,10,10,4,8,8,"6",4.77070063694268,"Female","White"
7,"No","Rent","No","No",10,7,10,10,10,10,10,10,10,10,10,10,10,10,"4",4.77070063694268,"Female","White"
2,"Yes","Rent","No","Yes",8,2,7,8,6,9,8,8,7,8,6,8,6,8,"5",3,"Male","Mixed"
7,"No","Own","Yes","No",10,7,9,9,9,9,9,10,10,10,8,8,10,8,"4",4,"Female","White"
5,"No","Rent","No","No",8,5,9,3,9,5,4,10,8,8,6,4,6,8,"1",4,"Female","White"
2,"No","Rent","No","No",7,3,8,8,8,7,6,7,9,6,8,6,8,8,"5",6,"Female","White"
2,"No","Own","No","No",8,1,10,9,10,9,9,10,10,10,10,4,10,8,"6",7,"Female","White"
3,"No","Own","Yes","No",8,4,9,6,9,8,8,9,8,10,10,6,8,8,"5",7,"Female","Asian/Pacific Islander"
6,"No","Own","No","No",9,2,9,10,9,8,8,9,9,10,8.46927374301676,4,10,10,"1",4.77070063694268,"Male","White"
4,"No","Own","No","No",8,5,7,7,7,6,6,7,6,6,2,2,6,6,"5",6,"Female","White"
2,"No","Rent","No","No",9,2,8,9,9,8,8,9,8,10,6,6,8,6,"3",3,"Male","Asian/Pacific Islander"
3,"No","Rent","No","Yes",10,2,9,10,8,5,8,10,10,10,10,4,6,6,"3",3,"Female","White"
2,"No","Rent","No","No",7,2,8,8,9,8,8,7,9,8,8,6,6,8,"2",3,"Female","White"
4,"No","Own","No","No",8,3,9,7,9,8,7,8,8,10,8,8,10,10,"4",6,"Female","White"
3,"No","Own","No","No",8,3,8,8,8,7,7,8,8,6,6,4,6,6,"5",7,"Female, Male","Mixed"
5,"No","Own","No","No",7,6,7,1,6,3,1,8,7,6,6,6,2,8,"3",5,"Female","White"
2,"Yes","Rent","No","Yes",7,2,9,7,9,10,7,7,8,6,6,2,8,6,"5",4.77070063694268,"Female","White"
2,"No","Rent","No","Yes",8,2,8,9,7,10,9,7,9,10,10,8,10,10,"3",4.77070063694268,"Male","White"
6,"No","Own","No","No",8,7,10,8,9,9,8,8,8,10,10,8,8,10,"7",4.77070063694268,"Female","White"
2,"No","Rent","No","No",8,2,7,10,8,9,9,9,8,8,10,2,6,10,"6",7,"Female","White"
2,"No","Rent","No","No",5,3,7,8,5,6,6,4,6,8,8,4,8,6,"2",3,"Female","White"
6,"No","Own","Yes","No",10,7,10,10,10,10,10,10,10,10,10,2,10,6,"5",5,"Female","White"
3,"No","Rent","No","Yes",7,3,8,9,7,7,8,8,8,8,8,2,8,4,"5",6,"Male","Asian/Pacific Islander"
2,"No","Rent","No","No",9,3,10,6,10,10,6,10,7,10,10,8,10,6,"2",6,"Female","White"
2,"No","Rent","Yes","No",1,2,9,2,9,6,2,2,9,10,10,2,10,6,"4",2,"Male","Hispanic / Latino"
2,"Yes","Rent","No","No",8,2,9,4,8,8,7,9,9,8,8,4,8,8,"2",3,"Female","White"
4,"No","Rent","No","No",10,2,10,9,10,9,10,10,10,10,10,10,8,10,"1",2,"Female","Hispanic / Latino"
2,"No","Rent","No","Yes",5,2,9,9,7,8,3,5,7,10,10,4,10,8,"5",3,"Female","White"
5,"No","Rent","No","No",9,6,10,9,10,9,7,9,10,10,8,6,8,8,"6",4,"Female","White"
4,"No","Rent","No","No",10,6,10,8,10,8,4,10,10,10,6,4,4,8,"2",7,"Male","Asian/Pacific Islander"
3.43715846994536,"No","Rent","No","No",7,3.82417582417582,8,7.80327868852459,8,7.67582417582418,7.06593406593407,7,7,10,10,6,8,8,"3",4.77070063694268,"Female","Mixed"
4,"No","Own","No","No",8,7,10,8,8,5,5,10,6,10,8,6,8,8,"4",6,"Female","White"
1,"No","Rent","No","No",6,1,8,9,8,7,8,7,10,6,8,4,10,6,"2",3,"Male","White"
2,"Yes","Own","No","No",7,2,9,7,8,8,7,7,8,8,8,2,6,6,"5",3,"Female","White"
3,"No","Rent","No","No",8,3,9,7,8,8,8,8,9,10,10,2,8,8,"3",4,"Female","White"
2,"No","Rent","No","Yes",7,4,8,8,6,8,7,8,7,10,10,4,8,8,"6",6,"Male","White"
5,"No","Rent","Yes","No",8,7,10,9,7,10,10,8,7,10,10,6,10,8,"3",4,"Female","White"
7,"No","Own","No","No",10,5,10,6,10,3,10,8,10,6,6,8,2,10,"1",4.77070063694268,"Female","Black/African American"
2,"No","Rent","No","Yes",9,1,7,8,7,7,6,8,7,8,8.46927374301676,6,6,7.51111111111111,"5",4,"Male","White"
6,"No","Rent","No","Yes",10,5,10,9,10,10,10,10,10,10,10,2,10,10,"3",3,"Female","Hispanic / Latino"
1,"No","Rent","No","Yes",7,2,6,8,8,10,6,10,8,6,4,4,4,6,"5",3,"Male","White"
3.43715846994536,"No","Rent","No","No",7,3.82417582417582,10,7.80327868852459,10,7.67582417582418,7.06593406593407,8,10,8,8,6,8,8,"7",4.77070063694268,"Female","Mixed"
7,"Yes","Other","Yes","No",1,6,5,1,10,1,10,10,1,10,2,10,10,2,"5",7,"Female","Asian/Pacific Islander"
2,"No","Rent","No","Yes",9,2,7,10,6,8,3,9,7,4,10,2,2,10,"7",5,"Female","White"
7,"No","Own","No","No",8,7,8,5,8,8,5,8,8,8,6,8,2,8,"2",3,"Male","White"
2,"No","Rent","No","No",10,3,8.19230769230769,10,8,9,8,10,8,10,10,6,6,6,"3",7,"Female","White"
2,"No","Rent","No","No",9,2,9,7,9,8,6,9,8,10,6,4,8,8,"5",7,"Male","Hispanic / Latino"
2,"No","Own","No","No",3,2,6,8,6,4,4,2,6,10,10,6,6,2,"4",3,"Male","White"
5,"No","Rent","No","No",8,3,8,8,8,8,7,8,8,8,8,6,6,7.51111111111111,"2",4,"Male","White"
2,"No","Rent","No","No",8,3,10,10,9,10,8,9,10,10,10,4,4,8,"2",4,"Female","White"
3,"No","Rent","No","No",9,2,8,8,9,8,9,8,9,8,10,2,8,6,"5",6,"Female","Asian/Pacific Islander"
4,"No","Own","No","Yes",6,5,8,6,7,5,5,5,5,6,8,4,4,6,"3",5,"Male","White"
3,"No","Rent","No","No",8,4,8,9,8,8,8,7,8,10,10,8,6,8,"3",5,"Female","White"
2,"No","Own","No","No",6,3,10,5,10,9,9,6,10,10,10,6,8,8,"5",4,"Female","White"
4,"No","Rent","No","Yes",6,4,9,6,8,7.67582417582418,7.06593406593407,6,8,6,10,2,2,6,"2",7,"Female","Mixed"
5,"No","Rent","No","No",6,7,3,4,5,4,3,6,7,6,8.46927374301676,2,8,8,"5",3,"Female","White"
6,"No","Own","No","No",9,6,5,9,3,9,4,9,4,8,10,6,8,8,"5",3,"Male","White"
2,"No","Other","No","No",7,3,10,5,10,10,7,7,10,8,10,6,10,10,"1",4,"Female","White"
2,"No","Rent","No","No",7,3,10,8,9,9,9,7,9,6,10,4,8,8,"3",4,"Female","White"
2,"No","Own","Yes","No",9,3,9,9,8,8,8,9,9,10,10,6,10,10,"2",7,"Male","White"
